giornata,data,casa,ospite
1,2026-08-23,ATA,SAS
1,2026-08-23,BOL,LAZ
1,2026-08-23,FRO,JUV
1,2026-08-23,GEN,NAP
1,2026-08-23,INT,MON
1,2026-08-23,PAR,CAG
1,2026-08-23,ROM,FIO
1,2026-08-23,TOR,MIL
1,2026-08-23,UDI,COM
1,2026-08-23,VEN,LEC
2,2026-08-30,ATA,BOL
2,2026-08-30,CAG,INT
2,2026-08-30,FIO,FRO
2,2026-08-30,JUV,PAR
2,2026-08-30,LAZ,GEN
2,2026-08-30,LEC,ROM
2,2026-08-30,MIL,VEN
2,2026-08-30,MON,UDI
2,2026-08-30,NAP,COM
2,2026-08-30,SAS,TOR
3,2026-09-06,BOL,SAS
3,2026-09-06,CAG,LEC
3,2026-09-06,FIO,TOR
3,2026-09-06,FRO,VEN
3,2026-09-06,GEN,COM
3,2026-09-06,INT,NAP
3,2026-09-06,JUV,MIL
3,2026-09-06,PAR,MON
3,2026-09-06,ROM,ATA
3,2026-09-06,UDI,LAZ
4,2026-09-13,ATA,CAG
4,2026-09-13,COM,PAR
4,2026-09-13,GEN,FRO
4,2026-09-13,INT,UDI
4,2026-09-13,LAZ,MIL
4,2026-09-13,LEC,MON
4,2026-09-13,NAP,BOL
4,2026-09-13,SAS,JUV
4,2026-09-13,TOR,ROM
4,2026-09-13,VEN,FIO
5,2026-09-20,BOL,TOR
5,2026-09-20,FIO,NAP
5,2026-09-20,FRO,COM
5,2026-09-20,JUV,ATA
5,2026-09-20,MIL,LEC
5,2026-09-20,MON,SAS
5,2026-09-20,PAR,GEN
5,2026-09-20,ROM,INT
5,2026-09-20,UDI,CAG
5,2026-09-20,VEN,LAZ
6,2026-10-11,ATA,VEN
6,2026-10-11,CAG,JUV
6,2026-10-11,COM,ROM
6,2026-10-11,GEN,FIO
6,2026-10-11,INT,PAR
6,2026-10-11,LAZ,MON
6,2026-10-11,LEC,BOL
6,2026-10-11,NAP,FRO
6,2026-10-11,SAS,MIL
6,2026-10-11,TOR,UDI
7,2026-10-18,BOL,INT
7,2026-10-18,FIO,COM
7,2026-10-18,FRO,SAS
7,2026-10-18,JUV,LAZ
7,2026-10-18,MIL,ATA
7,2026-10-18,MON,CAG
7,2026-10-18,PAR,TOR
7,2026-10-18,ROM,GEN
7,2026-10-18,UDI,LEC
7,2026-10-18,VEN,NAP
8,2026-10-25,ATA,FRO
8,2026-10-25,CAG,BOL
8,2026-10-25,COM,SAS
8,2026-10-25,GEN,VEN
8,2026-10-25,INT,FIO
8,2026-10-25,LAZ,PAR
8,2026-10-25,LEC,JUV
8,2026-10-25,NAP,ROM
8,2026-10-25,TOR,MON
8,2026-10-25,UDI,MIL
9,2026-10-28,FIO,ATA
9,2026-10-28,FRO,LEC
9,2026-10-28,GEN,JUV
9,2026-10-28,MIL,BOL
9,2026-10-28,MON,NAP
9,2026-10-28,PAR,UDI
9,2026-10-28,ROM,CAG
9,2026-10-28,SAS,LAZ
9,2026-10-28,TOR,COM
9,2026-10-28,VEN,INT
10,2026-11-01,ATA,PAR
10,2026-11-01,BOL,MON
10,2026-11-01,COM,VEN
10,2026-11-01,FRO,TOR
10,2026-11-01,JUV,NAP
10,2026-11-01,LAZ,CAG
10,2026-11-01,LEC,GEN
10,2026-11-01,MIL,INT
10,2026-11-01,SAS,FIO
10,2026-11-01,UDI,ROM
11,2026-11-08,CAG,FRO
11,2026-11-08,FIO,JUV
11,2026-11-08,GEN,MIL
11,2026-11-08,INT,COM
11,2026-11-08,MON,ATA
11,2026-11-08,NAP,LAZ
11,2026-11-08,PAR,BOL
11,2026-11-08,ROM,SAS
11,2026-11-08,TOR,LEC
11,2026-11-08,VEN,UDI
12,2026-11-22,ATA,INT
12,2026-11-22,BOL,UDI
12,2026-11-22,COM,CAG
12,2026-11-22,JUV,VEN
12,2026-11-22,LAZ,LEC
12,2026-11-22,MIL,FRO
12,2026-11-22,MON,FIO
12,2026-11-22,NAP,TOR
12,2026-11-22,PAR,ROM
12,2026-11-22,SAS,GEN
13,2026-11-29,CAG,MIL
13,2026-11-29,COM,JUV
13,2026-11-29,FRO,PAR
13,2026-11-29,INT,GEN
13,2026-11-29,LEC,ATA
13,2026-11-29,ROM,MON
13,2026-11-29,SAS,NAP
13,2026-11-29,TOR,LAZ
13,2026-11-29,UDI,FIO
13,2026-11-29,VEN,BOL
14,2026-12-06,BOL,ROM
14,2026-12-06,FIO,CAG
14,2026-12-06,FRO,INT
14,2026-12-06,GEN,TOR
14,2026-12-06,JUV,UDI
14,2026-12-06,LAZ,ATA
14,2026-12-06,MIL,PAR
14,2026-12-06,MON,COM
14,2026-12-06,NAP,LEC
14,2026-12-06,VEN,SAS
15,2026-12-13,ATA,GEN
15,2026-12-13,CAG,VEN
15,2026-12-13,COM,BOL
15,2026-12-13,INT,TOR
15,2026-12-13,JUV,MON
15,2026-12-13,LAZ,ROM
15,2026-12-13,LEC,SAS
15,2026-12-13,NAP,MIL
15,2026-12-13,PAR,FIO
15,2026-12-13,UDI,FRO
16,2026-12-20,ATA,NAP
16,2026-12-20,FIO,BOL
16,2026-12-20,FRO,LAZ
16,2026-12-20,GEN,UDI
16,2026-12-20,LEC,INT
16,2026-12-20,MIL,COM
16,2026-12-20,ROM,JUV
16,2026-12-20,SAS,PAR
16,2026-12-20,TOR,CAG
16,2026-12-20,VEN,MON
17,2027-01-03,BOL,JUV
17,2027-01-03,CAG,GEN
17,2027-01-03,COM,LEC
17,2027-01-03,FIO,LAZ
17,2027-01-03,INT,SAS
17,2027-01-03,MON,MIL
17,2027-01-03,PAR,NAP
17,2027-01-03,ROM,FRO
17,2027-01-03,TOR,VEN
17,2027-01-03,UDI,ATA
18,2027-01-06,ATA,COM
18,2027-01-06,FRO,BOL
18,2027-01-06,GEN,MON
18,2027-01-06,JUV,TOR
18,2027-01-06,LAZ,INT
18,2027-01-06,LEC,PAR
18,2027-01-06,MIL,FIO
18,2027-01-06,NAP,CAG
18,2027-01-06,SAS,UDI
18,2027-01-06,VEN,ROM
19,2027-01-10,BOL,GEN
19,2027-01-10,CAG,SAS
19,2027-01-10,COM,LAZ
19,2027-01-10,FIO,LEC
19,2027-01-10,INT,JUV
19,2027-01-10,MON,FRO
19,2027-01-10,PAR,VEN
19,2027-01-10,ROM,MIL
19,2027-01-10,TOR,ATA
19,2027-01-10,UDI,NAP
20,2027-01-17,ATA,ROM
20,2027-01-17,CAG,COM
20,2027-01-17,JUV,GEN
20,2027-01-17,LAZ,BOL
20,2027-01-17,LEC,UDI
20,2027-01-17,MIL,TOR
20,2027-01-17,NAP,FIO
20,2027-01-17,PAR,INT
20,2027-01-17,SAS,MON
20,2027-01-17,VEN,FRO
21,2027-01-24,BOL,ATA
21,2027-01-24,COM,NAP
21,2027-01-24,FIO,SAS
21,2027-01-24,FRO,MIL
21,2027-01-24,GEN,PAR
21,2027-01-24,INT,VEN
21,2027-01-24,JUV,CAG
21,2027-01-24,LEC,TOR
21,2027-01-24,MON,LAZ
21,2027-01-24,ROM,UDI
22,2027-01-31,ATA,FIO
22,2027-01-31,CAG,PAR
22,2027-01-31,GEN,LEC
22,2027-01-31,LAZ,VEN
22,2027-01-31,MIL,JUV
22,2027-01-31,MON,ROM
22,2027-01-31,NAP,INT
22,2027-01-31,SAS,COM
22,2027-01-31,TOR,FRO
22,2027-01-31,UDI,BOL
23,2027-02-07,ATA,LAZ
23,2027-02-07,BOL,MIL
23,2027-02-07,COM,MON
23,2027-02-07,FIO,UDI
23,2027-02-07,INT,CAG
23,2027-02-07,JUV,SAS
23,2027-02-07,LEC,NAP
23,2027-02-07,PAR,FRO
23,2027-02-07,ROM,TOR
23,2027-02-07,VEN,GEN
24,2027-02-14,BOL,COM
24,2027-02-14,CAG,LAZ
24,2027-02-14,FRO,FIO
24,2027-02-14,GEN,ATA
24,2027-02-14,INT,MIL
24,2027-02-14,MON,LEC
24,2027-02-14,NAP,JUV
24,2027-02-14,ROM,PAR
24,2027-02-14,TOR,SAS
24,2027-02-14,UDI,VEN
25,2027-02-21,ATA,MON
25,2027-02-21,COM,TOR
25,2027-02-21,FIO,INT
25,2027-02-21,JUV,BOL
25,2027-02-21,LAZ,NAP
25,2027-02-21,LEC,FRO
25,2027-02-21,MIL,GEN
25,2027-02-21,SAS,ROM
25,2027-02-21,UDI,PAR
25,2027-02-21,VEN,CAG
26,2027-02-28,BOL,LEC
26,2027-02-28,CAG,UDI
26,2027-02-28,COM,MIL
26,2027-02-28,FRO,NAP
26,2027-02-28,GEN,LAZ
26,2027-02-28,INT,ATA
26,2027-02-28,MON,JUV
26,2027-02-28,PAR,SAS
26,2027-02-28,ROM,VEN
26,2027-02-28,TOR,FIO
27,2027-03-07,ATA,TOR
27,2027-03-07,FIO,VEN
27,2027-03-07,JUV,ROM
27,2027-03-07,LAZ,FRO
27,2027-03-07,LEC,COM
27,2027-03-07,MIL,CAG
27,2027-03-07,MON,GEN
27,2027-03-07,NAP,PAR
27,2027-03-07,SAS,BOL
27,2027-03-07,UDI,INT
28,2027-03-14,BOL,NAP
28,2027-03-14,CAG,FIO
28,2027-03-14,COM,UDI
28,2027-03-14,FRO,MON
28,2027-03-14,GEN,ROM
28,2027-03-14,LAZ,JUV
28,2027-03-14,MIL,SAS
28,2027-03-14,PAR,LEC
28,2027-03-14,TOR,INT
28,2027-03-14,VEN,ATA
29,2027-03-21,ATA,MIL
29,2027-03-21,FIO,GEN
29,2027-03-21,INT,FRO
29,2027-03-21,JUV,COM
29,2027-03-21,MON,BOL
29,2027-03-21,NAP,VEN
29,2027-03-21,PAR,LAZ
29,2027-03-21,ROM,LEC
29,2027-03-21,SAS,CAG
29,2027-03-21,UDI,TOR
30,2027-04-04,CAG,NAP
30,2027-04-04,COM,FIO
30,2027-04-04,FRO,UDI
30,2027-04-04,GEN,INT
30,2027-04-04,LEC,LAZ
30,2027-04-04,MIL,MON
30,2027-04-04,ROM,BOL
30,2027-04-04,SAS,ATA
30,2027-04-04,TOR,JUV
30,2027-04-04,VEN,PAR
31,2027-04-11,BOL,VEN
31,2027-04-11,CAG,ATA
31,2027-04-11,FIO,MIL
31,2027-04-11,FRO,GEN
31,2027-04-11,INT,ROM
31,2027-04-11,JUV,LEC
31,2027-04-11,LAZ,TOR
31,2027-04-11,NAP,SAS
