sigla,ATA,BOL,CAG,COM,FIO,FRO,GEN,INT,JUV,LAZ,LEC,MIL,MON,NAP,PAR,ROM,SAS,TOR,UDI,VEN
ATA,,91,86,84,84,79,87,86,87,87,86,86,91,93,90,86,96,89,91,83
BOL,91,,86,94,84,90,81,94,91,79,87,89,80,89,86,94,83,79,86,91
CAG,86,86,,89,86,83,84,93,91,91,86,91,83,89,80,87,80,77,84,81
COM,84,94,89,,91,83,86,84,86,86,87,86,87,89,89,84,91,91,93,84
FIO,84,84,86,91,,86,83,84,90,83,81,93,87,89,84,86,80,83,87,86
FRO,79,90,83,83,86,,94,90,90,91,76,90,83,90,80,86,87,91,79,80
GEN,87,81,84,86,83,94,,87,87,83,94,89,86,91,91,90,83,80,91,89
INT,86,94,93,84,84,90,87,,81,86,89,81,93,87,87,84,91,91,89,86
JUV,87,91,91,86,90,90,87,81,,91,87,79,89,86,90,86,89,91,86,87
LAZ,87,79,91,86,83,91,83,86,91,,93,86,89,86,89,86,87,79,86,87
LEC,86,87,86,87,81,76,94,89,87,93,,93,81,96,77,80,81,86,83,84
MIL,86,89,91,86,93,90,89,81,79,86,93,,83,81,93,87,93,91,89,86
MON,91,80,83,87,87,83,86,93,89,89,81,83,,86,86,93,80,84,87,80
NAP,93,89,89,89,89,90,91,87,86,86,96,81,86,,90,90,87,93,84,89
PAR,90,86,80,89,84,80,91,87,90,89,77,93,86,90,,84,81,84,80,86
ROM,86,94,87,84,86,86,90,84,86,86,80,87,93,90,84,,89,87,87,91
SAS,96,83,80,91,80,87,83,91,89,87,81,93,80,87,81,89,,80,83,90
TOR,89,79,77,91,83,91,80,91,91,79,86,91,84,93,84,87,80,,89,81
UDI,91,86,84,93,87,79,91,89,86,86,83,89,87,84,80,87,83,89,,86
VEN,83,91,81,84,86,80,89,86,87,87,84,86,80,89,86,91,90,81,86,
