sigla,ATA,BOL,CAG,COM,FIO,FRO,GEN,INT,JUV,LAZ,LEC,MIL,MON,NAP,PAR,ROM,SAS,TOR,UDI,VEN
ATA,,87,83,83,81,79,84,84,86,86,84,81,87,89,90,86,91,86,89,80
BOL,87,,83,89,81,87,81,91,87,76,86,86,80,84,84,91,81,79,84,90
CAG,83,83,,87,86,80,81,91,90,87,84,89,80,86,77,86,76,76,79,77
COM,83,89,87,,89,81,80,83,81,84,83,83,84,89,87,83,89,89,91,83
FIO,81,81,86,89,,86,83,81,87,80,81,90,87,86,84,84,80,83,87,86
FRO,79,87,80,81,86,,90,87,87,89,74,87,81,87,77,84,86,90,79,79
GEN,84,81,81,80,83,90,,86,84,81,89,87,81,90,87,89,81,79,90,86
INT,84,91,91,83,81,87,86,,77,84,84,79,89,83,86,83,87,89,87,86
JUV,86,87,90,81,87,87,84,77,,87,83,79,87,83,87,86,86,91,83,86
LAZ,86,76,87,84,80,89,81,84,87,,90,84,86,83,83,86,84,79,81,86
LEC,84,86,84,83,81,74,89,84,83,90,,89,79,94,77,76,81,83,77,83
MIL,81,86,89,83,90,87,87,79,79,84,89,,83,81,89,86,90,87,87,81
MON,87,80,80,84,87,81,81,89,87,86,79,83,,86,80,90,77,80,83,77
NAP,89,84,86,89,86,87,90,83,83,83,94,81,86,,86,87,84,90,84,86
PAR,90,84,77,87,84,77,87,86,87,83,77,89,80,86,,80,80,83,79,81
ROM,86,91,86,83,84,84,89,83,86,86,76,86,90,87,80,,87,86,86,89
SAS,91,81,76,89,80,86,81,87,86,84,81,90,77,84,80,87,,80,77,84
TOR,86,79,76,89,83,90,79,89,91,79,83,87,80,90,83,86,80,,86,77
UDI,89,84,79,91,87,79,90,87,83,81,77,87,83,84,79,86,77,86,,81
VEN,80,90,77,83,86,79,86,86,86,86,83,81,77,86,81,89,84,77,81,
